"SCHOOL_YEAR","DATA_LEVEL","PUBLIC_OR_INDEPENDENT","DISTRICT_NUMBER","DISTRICT_NAME","MINCODE","SCHOOL_NAME","NUM_OF_SCHOOLS_IN_DATA_LEVEL","TOTAL_CLASSES","CLASSES_WITH_ED_ASSIST","TOTAL_CLASSES_GREATER_30","AVG_CLASS_SIZE_K","AVG_CLASS_SIZE_1_3","AVG_CLASS_SIZE_4_7","AVG_CLASS_SIZE_8_12"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618006","Field Elementary","1","2","","","     2.0","     5.0","",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618006","Field Elementary","1","1","","","     7.0","     7.0","",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618006","Field Elementary","1","1","","","     7.0","     7.0","",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618006","Field Elementary","1","1","","","     8.0","     8.0","",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618006","Field Elementary","1","1","","","","     5.0","",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618006","Field Elementary","1","1","","","","     3.0","",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","5","5","","    12.0","    19.5","    25.5",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","4","4","","    21.0","    23.0","    26.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","4","4","","    20.0","    19.4","    29.5",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","4","1","","    16.0","    19.3","    23.5",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","4","4","","    21.0","    21.0","    23.0",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","4","4","","    22.0","    23.4","    20.0",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","5","5","","    17.0","    19.5","    21.5",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","5","5","","    16.0","    16.0","    23.0",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","4","4","","    21.0","    20.8","    26.4",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","4","4","","    22.0","    22.8","    23.7",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","4","4","","    20.0","    22.1","    23.3",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","5","5","","    16.0","    19.0","    19.0",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618007","Nicholson Elementary","1","5","5","","    18.0","    19.3","    22.5",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","11","10","","    20.5","    20.4","",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","11","11","","    19.0","    21.1","",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","10","9","","    20.1","    20.9","",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","10","10","","    21.2","    21.9","",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","10","10","","    21.3","    21.4","",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","10","10","","    18.2","    19.7","",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","10","10","","    19.0","    20.7","",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","11","11","","    20.0","    19.8","",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","10","","","    19.2","    19.9","",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","11","","","    19.3","    22.0","",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","11","6","","    18.0","    21.6","",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","11","7","","    18.7","    21.0","",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","006","Rocky Mountain","00618008","Alexander Park Elementary","1","11","7","","    18.3","    21.0","",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","9","7","","    16.0","    22.1","    26.6",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","9","4","","    15.0","    19.0","    28.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","8","4","","    13.5","    23.7","    28.1",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","8","","1","    17.5","    22.1","    28.2",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","9","","","    19.0","    19.0","    25.5",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","9","","","    14.5","    22.2","    24.0",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","9","","","    22.0","    21.2","    24.6",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","8","5","","    22.0","    23.8","    29.1",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","8","","","    16.7","    21.9","    29.3",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","8","4","","    20.6","    23.3","    28.4",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","8","6","","    20.1","    22.4","    27.5",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","9","6","","    18.2","    19.4","    24.7",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807004","Hume Elementary School","1","9","9","","    18.6","    21.8","    25.9",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","155","36","2","","","    27.4","    23.7"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","245","","","","","    25.9","    24.1"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","251","11","","","","    23.6","    23.3"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","273","","","","","    23.0","    21.7"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","261","","","","","    23.5","    23.7"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","256","","","","","    24.5","    23.4"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","200","60","","","","    24.8","    22.5"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","171","93","2","","","    21.7","    25.5"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","161","75","1","","","    25.0","    24.4"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","163","59","","","","    27.0","    22.8"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","116","31","1","","","    25.2","    25.9"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","121","53","1","","","    22.9","    24.9"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807005","Trafalgar Middle School","1","138","58","1","","","    24.4","    21.7"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","8","4","","    14.0","    20.7","    24.4",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","7","5","","    18.0","    21.7","    28.3",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","8","6","","    13.0","    20.6","    23.2",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","7","","","    19.4","    20.0","    22.9",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","7","5","","    17.9","    22.3","    25.7",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","8","","","    19.3","    21.6","    24.7",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","7","","","    21.7","    22.6","    28.6",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","8","","","    19.2","    21.1","    25.6",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","8","","","    18.8","    20.6","    24.8",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","8","6","","    21.3","    22.6","    27.3",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","8","6","","    21.8","    23.3","    27.3",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","9","9","","    20.0","    19.5","    21.3",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807011","Salmo Elementary School","1","9","","","    18.0","    20.0","    20.2",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","47","5","","","","    17.6","    16.2"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","46","","","","","    17.4","    16.3"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","50","11","","","","    22.6","    14.7"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","73","","1","","","    19.0","    15.6"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","53","","","","","    14.4","    16.6"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","60","","","","","    18.0","    15.7"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","45","","","","","    21.0","    14.8"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","38","","","","","    24.6","    15.3"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","57","9","","","","    21.4","    15.7"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","50","26","1","","","    21.2","    17.3"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","69","51","1","","","    22.1","    16.9"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","29","29","","","","    27.7","    19.2"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807012","Salmo Secondary","1","56","","","","","    28.5","    19.3"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","107","20","2","","","","    23.6"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","96","19","1","","","","    23.6"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","133","18","3","","","    27.0","    23.2"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","127","","","","","","    23.3"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","120","","9","","","","    24.8"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","179","","10","","","","    22.2"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","138","","4","","","","    22.4"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","123","","2","","","","    23.4"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","132","","5","","","","    23.4"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","126","35","11","","","","    24.3"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","120","14","14","","","","    24.6"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","118","39","4","","","","    24.3"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807013","L V Rogers Secondary","1","125","23","","","","","    23.6"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","7","1","","    12.0","    21.8","    22.4",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","7","3","","    22.0","    20.4","    21.1",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","9","5","","    20.5","    20.4","    26.0",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","10","","","    21.5","    20.6","    20.9",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","10","","","    20.3","    19.6","    27.8",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","9","","","    15.5","    21.3","    23.0",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","8","7","","    18.0","    24.0","    28.4",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","8","8","","    19.4","    21.3","    26.3",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","8","","","    20.0","    20.0","    30.0",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","7","4","","    20.5","    22.8","    26.8",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","9","4","","    20.5","    23.2","    26.3",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","9","4","","    20.0","    21.9","    24.0",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807014","South Nelson Elementary","1","10","10","","    18.5","    21.2","    25.0",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","7","4","","    17.0","    20.3","    15.3",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","7","5","","    12.0","    16.7","    15.0",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","5","4","","    12.0","    21.2","    21.8",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","5","","","    17.0","    21.2","    23.3",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","5","","","    17.0","    20.6","    21.0",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","5","","","    22.0","    22.0","    23.3",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","5","4","","    22.0","    21.6","    22.9",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","5","5","","    20.0","    23.6","    29.1",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","6","3","","    21.7","    23.3","    27.7",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","6","2","1","    22.0","    23.6","    28.8",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","7","5","","    19.7","    22.2","    25.6",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","7","4","","    20.0","    21.9","    25.5",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807016","Blewett Elementary School","1","7","6","","    20.0","    22.4","    25.6",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","6","6","","    16.0","    19.0","    23.5",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","6","4","","    13.0","    20.7","    25.7",""
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","5","4","","    11.0","    21.7","    23.5",""
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","5","","","    16.0","    18.2","    20.0",""
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","5","","","    11.0","    20.8","    25.0",""
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","5","","","    18.6","    20.8","    18.9",""
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","5","5","","    20.7","    20.3","    23.0",""
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","5","","","    22.0","    22.1","    24.2",""
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","5","5","","    21.0","    21.3","    28.0",""
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","5","3","","    18.0","    23.6","    27.5",""
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","6","","","    16.0","    20.3","    25.3",""
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","6","6","","    16.0","    19.0","    23.5",""
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807018","Rosemont Elementary School","1","6","6","","    20.0","    20.2","    22.0",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807019","A.I. Collinson Elementary","1","4","1","","     5.0","    17.8","    21.0",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807019","A.I. Collinson Elementary","1","4","","","    11.0","    14.3","    15.1",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","77","20","3","","","    25.9","    22.6"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","86","15","2","","","    27.8","    21.2"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","144","27","6","","","    22.0","    22.5"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","93","25","","","","    23.5","    17.6"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","134","","1","","","","    12.1"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","89","13","","","","    19.5","    15.7"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","88","","2","","","    24.6","    18.1"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","83","","","","","    28.5","    17.4"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","59","21","","","","    29.1","    22.0"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","58","15","3","","","    26.5","    22.4"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","61","19","","","","    22.2","    21.1"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","60","16","","","","    21.0","    20.2"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807025","Mount Sentinel Secondary","1","81","","","","","    16.3","    16.2"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","16","10","","    15.0","    13.0","    13.9","    12.0"
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","15","3","","    16.0","    14.7","    10.9","    11.8"
"2008/2009","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","25","8","1","    20.0","    19.7","    18.9","    13.9"
"2009/2010","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","21","11","","     5.0","    16.0","    25.0","    18.1"
"2010/2011","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","20","7","","    15.0","    15.0","    18.6","    15.8"
"2011/2012","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","23","","","    10.0","    10.5","    16.6","    13.5"
"2012/2013","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","15","1","","    17.0","    17.0","    21.7","    19.0"
"2013/2014","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","16","1","","    19.0","    18.3","    16.9","    16.9"
"2014/2015","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","20","","","    19.0","    18.2","     8.4","    11.6"
"2015/2016","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","21","1","","    16.0","    15.8","    18.6","    14.1"
"2016/2017","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","46","5","","     4.2","    10.8","    11.4","     5.7"
"2017/2018","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","75","75","","     4.9","     4.8","     6.9","     9.1"
"2018/2019","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807026","W.E. Graham Community School","1","20","11","","    13.0","    14.9","    27.0","    19.2"
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807028","Gordon Sargent Primary School","1","3","3","","    12.0","    19.5","",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807028","Gordon Sargent Primary School","1","3","2","","    20.0","    19.5","",""
"2006/2007","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807033","Brent Kennedy Elementary","1","11","7","","    17.0","    21.8","    22.9",""
"2007/2008","SCHOOL LEVEL","BC PUBLIC SCHOOL","008","Kootenay Lake","00807033","Brent Kennedy Elementary","1","10","","","    16.0","    23.0","    25.3",""
